supplier_ref,product_description,brand,manufacturer_code,pack_size,unit_price_gbp,vat_rate,category,notes
PC-018,Kerr Herculite Ultra Composite A2,Kerr,KER-HCU-A2,4g syringe,21.80,20%,Restorative,
PC-019,Ivoclar Tetric EvoCeram Composite A2,Ivoclar Vivadent,IVO-TEC-A2,3g syringe,26.40,20%,Restorative,
PC-020,VOCO Grandio Composite Shade A2,VOCO,VOC-GRD-A2,4g syringe,19.60,20%,Restorative,
PC-021,Septanest Articaine 4% 1:100000 x50,Septodont,SEP-ART4-100-50,50 cartridges,28.00,20%,Anaesthetics,
PC-022,Septanest Articaine 4% 1:200000 x50,Septodont,SEP-ART4-200-50,50 cartridges,27.50,20%,Anaesthetics,different - NOT a duplicate of PC-021
PC-023,Scandonest 3% Plain Mepivacaine Cartridges,Septodont,SEP-MEP3-PL-50,50 cartridges,22.40,20%,Anaesthetics,
PC-024,Citanest Plain 3% Prilocaine Cartridges,Dentsply,DS-CIT3-PL-50,50 cartridges,21.60,20%,Anaesthetics,
PC-025,Topical Spray Ethyl Chloride 100ml,PrimeCare Anaes,PCM-ECL-100,100ml bottle,8.80,20%,Anaesthetics,
PC-026,PrimeCare QuickSet Alginate Fast 500g,PrimeCare ImproPro,PCM-ALG-FS-500,500g tub,6.80,20%,Impression,
PC-027,PrimeCare QuickSet Alginate Regular 500g,PrimeCare ImproPro,PCM-ALG-RS-500,500g tub,6.75,20%,Impression,
PC-028,Aquasil Ultra Monophase Regular Body,Dentsply Sirona,DS-AQU-MON-REG,50ml cartridge,28.90,20%,Impression,
PC-029,Aquasil Ultra Heavy Body Regular Set,Dentsply Sirona,DS-AQU-HB-RS,50ml cartridge,30.10,20%,Impression,different viscosity
PC-030,Impregum Penta Soft Polyether Light Body,3M ESPE,3M-IMP-PS-LB,50ml cartridge,37.80,20%,Impression,different viscosity to ND-030
PC-031,Panasil Tray Fast Set Heavy Body,Kettenbach,KET-PAN-FS-HB,50ml cartridge,33.20,20%,Impression,
PC-032,Ivory Rubber Dam Latex-Free Medium,Dentsply Sirona,DS-RD-LF-MED-36,36 sheets,14.50,20%,Isolation,
PC-033,Ivory Rubber Dam Latex Medium,Dentsply Sirona,DS-RD-L-MED-36,36 sheets,11.20,20%,Isolation,latex - clinically different to PC-032
PC-034,PrimeCare ClampKit Pro Assorted,PrimeCare ImproPro,PCM-RDC-ASST,set of 6,18.40,20%,Isolation,
PC-035,Rubber Dam Napkin Cloth,PrimeCare ImproPro,PCM-RDN-CLT,pack/50,6.40,20%,Isolation,
PC-036,ProTaper Universal 25mm F1-F3 Assorted,Dentsply Sirona,DS-PTU-25-F1-3,pack/6,34.80,20%,Endodontics,", hyphen variant"
PC-037,ProTaper Gold 25mm F1-F3 Assorted,Dentsply Sirona,DS-PTG-25-F13,pack/6,42.60,20%,Endodontics,different product - ProTaper Gold not Universal
PC-038,WaveOne Gold Primary 25mm,Dentsply Sirona,DS-WOG-PRM-25,pack/3,28.50,20%,Endodontics,
PC-039,PrimeCare EndoFile K-Type Size 015 25mm,PrimeCare EndoPro,PCM-KF-015-25,pack/6,3.20,20%,Endodontics,
PC-040,PrimeCare EndoFile K-Type Size 020 25mm,PrimeCare EndoPro,PCM-KF-020-25,pack/6,3.20,20%,Endodontics,
PC-041,PrimeCare EndoFile K-Type Size 025 25mm,PrimeCare EndoPro,PCM-KF-025-25,pack/6,3.20,20%,Endodontics,
PC-042,PrimeCare GP Master Points 25mm .04 Taper,PrimeCare EndoPro,PCM-GP-025-04,box/60,6.40,20%,Endodontics,
PC-043,AH Plus Epoxy Resin Sealer Automix,Dentsply,DS-AHP-STD,automix syringe,18.20,20%,Endodontics,
PC-044,MTA Angelus Mineral Trioxide Aggregate,Angelus,ANG-MTA-STD,1g,38.40,20%,Endodontics,
PC-045,PrimeCare ProClean Instrument Fluid 5L,PrimeCare SanitePro,PCM-DIS-GF-5L,5L container,22.80,20%,Infection Control,
PC-046,Alcohol Surface Wipes 200 Sheet Tub,PrimeCare SanitePro,PCM-ASW-200,200 wipes,9.40,20%,Infection Control,
PC-047,Autoclave Type B Pouches 89x229mm Self-Seal,PrimeCare SanitePro,ND-ACP-89229,200 units,12.40,20%,Infection Control,","
PC-048,Autoclave Type B Pouches 190x330mm Self-Seal,PrimeCare SanitePro,PCM-ACP-190330,200 units,17.20,20%,Infection Control,
PC-049,Steam Indicator Tape 50m,PrimeCare SanitePro,PCM-SIT-50M,1 roll,4.60,20%,Infection Control,
PC-050,Sharps Container 1 Litre Yellow Lid,PrimeCare SanitePro,PCM-SHC-1L,single,1.80,20%,Infection Control,
PC-051,Opalescence PF 16% Patient Kit,Ultradent,ULT-OPF-16-8,8 syringes,62.00,20%,Whitening,
PC-052,Opalescence Boost In-Office 40%,Ultradent,ULT-OOB-40-4,4 syringes,84.00,20%,Whitening,"different product - in-office, NOT a duplicate"
PC-053,PrimeCare VarnishPro 5% NaF Single Dose,PrimeCare PreventPlus,PCM-FV-5-50,50 x 0.4ml,38.50,20%,Preventive,
PC-054,GC MI Paste Plus Vanilla,GC UK,GC-MIPP-VAN,40g tube,14.80,20%,Preventive,
PC-055,Duraphat 5000 Fluoride Toothpaste 51g,Colgate Professional,CP-DUR-5000,51g tube,6.20,20%,Preventive,POM product
PC-056,PrimeCare CottonPlus Rolls Medium,PrimeCare Sundries,PCM-CWR-MD-1000,1000 units,7.40,20%,Consumables,
PC-057,PrimeCare CottonPlus Rolls Large,PrimeCare Sundries,PCM-CWR-LG-1000,1000 units,7.80,20%,Consumables,
PC-058,Disposable Saliva Ejectors White,PrimeCare Sundries,ND-SE-1OO,100 units,3.20,20%,Consumables,
PC-059,High Volume Suction Tips Disposable,PrimeCare Sundries,PCM-HVE-100,100 units,8.80,20%,Consumables,
PC-060,Air-Water Syringe Tips,PrimeCare Sundries,PCM-AWS-250,250 units,6.10,20%,Consumables,
PC-061,Paper Patient Bibs 2-Ply Blue,PrimeCare Sundries,PCM-BIB-2P-500,500 units,9.40,20%,Consumables,
PC-062,Disposable Impression Trays Upper Small,PrimeCare Sundries,ND-IT-US-25,25 units,4.10,20%,Consumables,","
PC-063,Disposable Impression Trays Upper Medium,PrimeCare Sundries,ND-IT-UM-25,25 units,4.10,20%,Consumables,
PC-064,Disposable Impression Trays Lower Small,PrimeCare Sundries,ND-IT-LS-25,25 units,4.10,20%,Consumables,
PC-065,Disposable Impression Trays Lower Medium,PrimeCare Sundries,ND-IT-LM-25,25 units,4.10,20%,Consumables,
PC-066,Mixing Tips Orange Fine Impression,PrimeCare Sundries,ND-MT-BLU-FIN-50,50 units,8.20,20%,Consumables,
PC-067,Ketac Cem Glass Ionomer Luting Cement,3M ESPE,3M-KC-RO-STD,standard kit,28.60,20%,Cements,
PC-068,Cavit Temporary Restorative 28g,3M ESPE,3M-CAV-28,28g tube,5.40,20%,Cements,
PC-069,PrimeCare ZO-Cement Powder 40g,PrimeCare CemPro,PCM-ZOE-40G,40g tin,4.20,20%,Cements,
PC-070,TempBond NE Non-Eugenol Temp Cement,Kerr,KER-TBNE-STD,automix,18.80,20%,Cements,
PC-071,Fuji CEM 2 Glass Ionomer Luting Cement,GC UK,GC-FCM2-STD,standard kit,38.60,20%,Cements,
PC-072,Chlorhexidine 0.2% Mouthwash 300ml,PrimeCare PreventPlus,ND-CHX-02-300,300ml,3.80,20%,Periodontics,
PC-073,PrimeCare ScalerTip Universal P10,PrimeCare PerioPlus,PCM-UST-P10,single,18.40,20%,Periodontics,
PC-074,Gracey Curette 7/8 Double-End,Hu-Friedy,HF-GR-78-DE,single,38.60,20%,Instruments,different to ND-078 (5/6 vs 7/8)
PC-075,PrimeCare ProphyPaste Medium 200g,PrimeCare PreventPlus,ND-PP-MED-20O,200g tub,7.20,20%,Preventive,
PC-076,Kodak/Carestream X-Ray Film Size 0,Carestream,CS-XRF-S0-150,150 films,28.80,20%,Radiography,
PC-077,Kodak/Carestream X-Ray Film Size 2,Carestream,CS-XRF-S2-150,150 films,32.40,20%,Radiography,
PC-078,Bitewing Film Holders Rinn Style,PrimeCare Radiology,PCM-FH-BW-RINN,set/4,14.20,20%,Radiography,
PC-079,Thyroid Collar Lead-Free Adult,PrimeCare Radiology,PCM-TC-ADT-LF,single,48.00,20%,Radiography,
PC-080,Bausch Articulating Paper 40 Micron Blue,Bausch,BAU-AP-40B-200,200 strips,8.40,20%,Restorative,
PC-081,PrimeCare MatrixPlus Tofflemire Retainer,PrimeCare RestorePro,PCM-TMR-STD,single,6.20,20%,Restorative,
PC-082,Sectional Matrix Composi-Tight 3D Kit,Garrison Dental,GD-CT3D-KIT,kit,68.00,20%,Restorative,different product to ND-090
PC-083,Etch Gel Phosphoric Acid 37% 2ml,PrimeCare RestorePro,PCM-ETG-37-2,2ml syringe,1.80,20%,Restorative,smaller size than ND-096 - different SKU appropriate
PC-084,PrimeCare BondMaster Single Component 6ml,PrimeCare RestorePro,PCM-BND-SC-6,6ml bottle,18.20,20%,Restorative,
PC-085,Metal Matrix Bands 0.05mm Assorted,PrimeCare RestorePro,PCM-MMB-005-ASST,box/100,8.40,20%,Restorative,
PC-086,PrimeCare TopiGel 20% Benzocaine Strawberry,PrimeCare Anaes,PCM-TAG-S20-30,30g jar,5.60,20%,Anaesthetics,
PC-087,Topical Anaesthetic Lidocaine Spray 15%,PrimeCare Anaes,PCM-LID-SPR-15,50ml,12.40,20%,Anaesthetics,
PC-088,Caries Detector Dye 1ml,Kuraray,KUR-CD-1ML,1ml dropper,18.80,20%,Restorative,
PC-089,Rubber Polishing Cups Latch Type,PrimeCare PreventPlus,PCM-RPC-LT-144,bag/144,8.60,20%,Preventive,
PC-090,Floss Picks Disposable Bulk Pack,PrimeCare Sundries,PCM-FPK-300,300 units,4.20,20%,Consumables,
PC-091,Stainless Steel Crowns Lower Molar Size 4,NovaDent PaediPro,ND-SSC-LM-4,pack/5,28.60,20%,Paediatric,
PC-092,Stainless Steel Crowns Upper Molar Size 5,PrimeCare PaediPlus,PCM-SSC-UM-5,pack/5,28.60,20%,Paediatric,
PC-093,Strip Crowns Upper Central Incisor Kit,Directa,DIR-SCR-UCI,kit,34.80,20%,Paediatric,
PC-094,Pulpotomy Medicament Formocresol 15ml,Sultan,SUL-FC-15,15ml bottle,14.20,20%,Paediatric,regulated product - check compliance
PC-095,Fissure Sealant Light-Cure Flowable,3M ESPE,3M-FS-LC-FLO,2ml syringe,18.60,20%,Preventive,
PC-096,Dentsply Aquasil Ultra Light Body Fast Set,Dentsply Sirona,DS-AQU-LB-FS,50ml cartridge,29.50,20%,Impression,
PC-097,Celluloid Strip Crowns Upper Lateral,Directa,DIR-CSC-UL,bag/50,8.40,20%,Paediatric,
PC-098,Calcium Hydroxide Paste Pure,Ultradent,ULT-CHP-2,2ml syringe,8.20,20%,Endodontics,
PC-099,Dental Floss Waxed 100m,Oral B,OB-FLW-100,1 reel,2.80,20%,Preventive,
PC-100,Composite Polishing Disc Kit Sof-Lex,3M ESPE,3M-SOF-LEX-KIT,assorted kit,28.40,20%,Restorative,
