supplier_ref,product_description,brand,manufacturer_code,pack_size,unit_price_gbp,vat_rate,category,notes
ND-035,Rubber Dam Frame Plastic Young Style,Hu-Friedy,HF-RDF-PL-YG,single,4.20,20%,Isolation,
ND-036,Rubber Dam Punch Ainsworth Style,Hu-Friedy,HF-RDP-AIN,single,62.00,20%,Instruments,
ND-037,ProTaper Universal Files 25mm Assorted F1-F3,Dentsply Sirona,DS-PTU-25-F13,pack/6,34.80,20%,Endodontics,
ND-038,ProTaper Universal Files 21mm Assorted F1-F3,Dentsply Sirona,DS-PTU-21-F13,pack/6,34.80,20%,Endodontics,
ND-039,WaveOne Gold Primary 25mm,Dentsply Sirona,DS-WOG-PRM-25,pack/3,28.50,20%,Endodontics,
ND-040,K-Files Size 15 25mm,NovaDent EndoLine,ND-KF-015-25,pack/6,3.20,20%,Endodontics,
ND-041,K-Files Size 20 25mm,NovaDent EndoLine,ND-KF-020-25,pack/6,3.20,20%,Endodontics,
ND-042,K-Files Size 25 25mm,NovaDent EndoLine,ND-KF-025-25,pack/6,3.20,20%,Endodontics,
ND-043,Gutta Percha Points Size 25 Taper .04,NovaDent EndoLine,ND-GP-025-04,box/60,6.40,20%,Endodontics,
ND-044,AH Plus Root Canal Sealer,Dentsply,DS-AHP-STD,1 automix syringe,18.20,20%,Endodontics,
ND-045,Sodium Hypochlorite 3% Irrigation Solution,NovaDent EndoLine,ND-NaOCl-3-500,500ml bottle,4.10,20%,Endodontics,
ND-046,Glutaraldehyde-Free Instrument Disinfectant 5L,NovaDent Sterile,ND-DIS-GF-5L,5L container,22.80,20%,Infection Control,
ND-047,Surface Disinfectant Spray 1L,NovaDent Sterile,ND-SDS-1L,1L spray,8.60,20%,Infection Control,
ND-048,Autoclave Pouches Self-Seal 89x229mm,NovaDent Sterile,ND-ACP-89229,box/200,12.40,20%,Infection Control,
ND-049,Autoclave Pouches Self-Seal 135x254mm,NovaDent Sterile,ND-ACP-135254,box/200,14.60,20%,Infection Control,
ND-050,Dental Wipes Alcohol-Free 200 Sheet Roll,NovaDent Sterile,ND-DW-AF-200,1 roll,6.20,20%,Infection Control,
ND-051,Opalescence PF 16% Whitening Gel,Ultradent,ULT-OPF-16-8,8 syringes,62.00,20%,Whitening,
ND-052,Opalescence PF 35% Whitening Gel,Ultradent,ULT-OPF-35-4,4 syringes,58.00,20%,Whitening,different concentration - NOT a duplicate
ND-053,Fluoride Varnish 5% NaF Single Dose,NovaDent PrevaCare,ND-FV-5-50,50 x 0.4ml units,38.50,20%,Preventive,
ND-054,Chlorhexidine Gel 1% 50g Tube,NovaDent PrevaCare,ND-CHX-1-50G,50g tube,4.80,20%,Preventive,
ND-055,GC Tooth Mousse Mint Flavour,GC UK,GC-TM-MINT,40g tube,14.20,20%,Preventive,
ND-056,Cotton Wool Rolls Medium,NovaDent Sundries,ND-CWR-MD-1000,bag/1000,7.40,20%,Consumables,
ND-057,Cotton Wool Rolls Large,NovaDent Sundries,ND-CWR-LG-1000,bag/1000,7.80,20%,Consumables,
ND-058,Disposable Saliva Ejectors,NovaDent Sundries,ND-SE-100,bag/100,3.20,20%,Consumables,
ND-059,High Volume Evacuation Tips Disposable,NovaDent Sundries,ND-HVE-100,bag/100,8.80,20%,Consumables,
ND-060,3-in-1 Syringe Tips,NovaDent Sundries,ND-3IN1-250,bag/250,6.10,20%,Consumables,
ND-061,Dental Bibs 2-Ply,NovaDent Sundries,ND-BIB-2P-500,box/500,9.20,20%,Consumables,
ND-062,Paper Mixing Pads A4 Size,NovaDent Sundries,ND-PMP-A4-100,pad/100 sheets,3.60,20%,Consumables,
ND-063,Wooden Spatulas,NovaDent Sundries,ND-WSP-100,bag/100,1.80,20%,Consumables,
ND-064,Impression Trays Upper Small Disposable,NovaDent Sundries,ND-IT-US-25,bag/25,4.10,20%,Consumables,
ND-065,Impression Trays Upper Medium Disposable,NovaDent Sundries,ND-IT-UM-25,bag/25,4.10,20%,Consumables,
ND-066,Impression Trays Upper Large Disposable,NovaDent Sundries,ND-IT-UL-25,bag/25,4.10,20%,Consumables,
ND-067,Impression Trays Lower Small Disposable,NovaDent Sundries,ND-IT-LS-25,bag/25,4.10,20%,Consumables,
ND-068,Impression Trays Lower Medium Disposable,NovaDent Sundries,ND-IT-LM-25,bag/25,4.10,20%,Consumables,
ND-069,Headrest Paper Roll 20 inch,NovaDent Sundries,ND-HPR-20-12,12 rolls/case,18.60,20%,Consumables,
ND-070,Patient Bibs Tissue/Poly 2-Ply,NovaDent Sundries,ND-PB-TP-500,box/500,11.40,20%,Consumables,
ND-071,Ketac Cem Radiopaque Glass Ionomer Cement,3M ESPE,3M-KC-RO-STD,standard pack,28.60,20%,Cements,
ND-072,Cavit Temporary Filling Material 28g,3M ESPE,3M-CAV-28G,28g tube,5.40,20%,Cements,
ND-073,Zinc Oxide Eugenol Powder 40g,NovaDent CemBond,ND-ZOE-40G,40g tin,4.20,20%,Cements,
ND-074,Temp Bond NE Non-Eugenol Temporary Cement,Kerr,KER-TBNE-STD,1 automix,18.80,20%,Cements,
ND-075,RelyX Luting 2 Glass Ionomer Cement,3M ESPE,3M-RLX2-STD,standard pack,32.40,20%,Cements,
ND-076,Chlorhexidine Mouthwash 0.2% 300ml,NovaDent PrevaCare,ND-CHX-02-300,300ml bottle,3.80,20%,Periodontics,
ND-077,Ultrasonic Scaler Tips P10 Universal,NovaDent PerioLine,ND-UST-P10,single,18.40,20%,Periodontics,
ND-078,Curette Gracey 5/6 Double-End,Hu-Friedy,HF-GR-56-DE,single,38.60,20%,Instruments,
ND-079,Periodontal Probe Williams Colour-Coded,Hu-Friedy,HF-PWM-CC,single,22.40,20%,Instruments,
ND-080,Prophy Paste Medium Grit 200g,NovaDent PrevaCare,ND-PP-MED-200,200g tub,7.20,20%,Preventive,
ND-081,Dental X-Ray Film Size 0 Periapical,Carestream,CS-XRF-S0-150,box/150,28.80,20%,Radiography,
ND-082,Dental X-Ray Film Size 2 Periapical,Carestream,CS-XRF-S2-150,box/150,32.40,20%,Radiography,
ND-083,Phosphor Plate Size 0 for Digital X-Ray,Carestream,CS-PSP-S0,single,88.00,20%,Radiography,
ND-084,Film Holder Rinn XCP Anterior Kit,Dentsply Rinn,DS-RNN-XCP-ANT,kit,64.20,20%,Radiography,
ND-085,Lead Apron Adult with Thyroid Collar,NovaDent SafeGuard,ND-LA-ADT-TC,single,148.00,20%,Radiography,
ND-086,Separator Elastics 1000 Pack,NovaDent OrthoLine,ND-SEP-EL-1000,bag/1000,6.80,20%,Orthodontics,
ND-087,Articulating Paper 40 micron Blue,Bausch,BAU-AP-40B-200,box/200 strips,8.40,20%,Restorative,
ND-088,Articulating Paper 200 micron Red,Bausch,BAU-AP-200R-200,box/200 strips,8.40,20%,Restorative,
ND-089,Tofflemire Matrix Retainer,NovaDent RestorePro,ND-TMR-STD,single,6.20,20%,Restorative,
ND-090,Sectional Matrix System Assorted Kit,Garrison Dental,GD-SMS-ASST,kit,62.00,20%,Restorative,
ND-091,Topical Anaesthetic Gel Benzocaine 20% Strawberry,NovaDent PrevaCare,ND-TAG-S20-30,30g jar,5.60,20%,Anaesthetics,
ND-092,Spot Welding Tip Replacement,NovaDent TechLine,ND-SWT-REP,pack/10,12.80,20%,Equipment,
ND-093,Mixing Tips Blue Fine for Impression Materials,NovaDent Sundries,ND-MT-BLU-FIN-50,bag/50,8.20,20%,Consumables,
ND-094,Mixing Tips Yellow Standard for Impression Materials,NovaDent Sundries,ND-MT-YEL-STD-50,bag/50,7.80,20%,Consumables,
ND-095,Prophy Angle Disposable Latch Type,NovaDent PrevaCare,ND-PA-LT-100,bag/100,14.60,20%,Preventive,
ND-096,Etch Gel 37% Phosphoric Acid 12ml,NovaDent RestorePro,ND-ETG-37-12,12ml syringe,4.80,20%,Restorative,
ND-097,Bonding Agent Single Component 6ml,NovaDent RestorePro,ND-BND-SC-6,6ml bottle,18.20,20%,Restorative,
ND-098,Composite Finishing and Polishing Kit,NovaDent RestorePro,ND-CFP-KIT,kit/12 points,22.40,20%,Restorative,
ND-099,Colgate Duraphat 5000 Toothpaste 51g,Colgate Professional,CP-DUR-5000,51g tube,6.20,20%,Preventive,POM - prescription only
ND-100,Stainless Steel Crowns Lower Molar Size 4,NovaDent PaediPro,ND-SSC-LM-4,pack/5,28.60,20%,Paediatric,
